id,token
lele,lələ
qosu,qoşu
sulm,şulm
ulma,ulma
adla,adla
dlan,dlan
land,land
andi,andı
ndir,ndir
dirm,dirm
irma,ırma
rmaq,rmaq
olar,olar
hoku,höku
okum,ökum
kume,kumə
umet,umət
meti,məti
Avro,Avro
vrop,vrop
ropa,ropa
tehs,təhs
ehsi,əhsi
hsil,hsil
temi,təmi
emin,əmin
mind,mind
behr,bəhr
ehre,əhrə
hrel,hrəl
lenm,lənm
enme,ənmə
nmek,nmək
Borc,Borç
orca,orça
rcal,rçal
cali,çalı
turk,türk
urkl,ürkl
rkle,rklə
kler,klər
erin,ərin
rine,rinə
20-3,20-3
0-30,0-30
ayir,ayır
yirs,yırs
irsa,ırsa
gere,gərə
reke,rəkə
eker,əkər
kers,kərs
erse,ərsə
mali,mali
aliy,aliy
liyy,liyy
iyye,iyyə
mesr,məsr
esre,əsrə
sref,srəf
refl,rəfl
efle,əflə
fler,flər
inin,inin
ehem,əhəm
hemi,həmi
emiy,əmiy
miyy,miyy
yyet,yyət
yetl,yətl
hiss,hiss
isse,issə
sses,ssəs
sesi,səsi
esin,əsin
sini,sini
Azer,Azər
zerb,zərb
erba,ərba
rbay,rbay
bayc,bayc
ayca,ayca
ycan,ycan
odem,ödəm
deme,dəmə
emek,əmək
mekl,məkl
ekle,əklə
proq,proq
roqr,roqr
oqra,oqra
qram,qram
real,real
eall,eall
alla,alla
llas,llaş
lass,laşs
assa,aşsa
udan,udan
Sirk,Şirk
irke,irkə
rket,rket
rehb,rəhb
ehbe,əhbə
hber,hbər
beri,bəri
guya,guya
trai,trai
rain,rain
aini,aini
ning,ning
ingd,ingd
ngde,ngdə
gden,gdən
ders,dərs
cixa,çıxa
ixar,ıxar
xari,xarı
arir,arır
Bele,Belə
evde,evdə
vden,vdən
den-,dən-
en-e,ən-e
n-ev,n-ev
-eve,-evə
eder,edər
qadi,qadı
adin,adın
din-,dın-
in-k,ın-k
n-ki,n-ki
-kis,-kiş
kisi,kişi
bilm,bilm
ilme,ilmə
lmed,lməd
mede,mədə
iman,iman
manl,manl
anli,anlı
nlil,nlıl
lila,lıla
ilar,ılar
suru,sürü
uruy,ürüy
ruyu,rüyü
uyub,üyüb
zind,zind
ndan,ndan
dana,dana
sali,salı
alir,alır
lird,lırd
Aysu,Aysu
arzu,arzu
elem,eləm
leme,ləmə
emed,əməd
medi,mədi
ediy,ədiy
diyi,diyi
sohb,söhb
ohbe,öhbə
hbet,hbət
betd,bətd
etde,ətdə
tden,tdən
cani,canı
nini,nını
qurt,qurt
urta,urta
rtar,rtar
tarm,tarm
armi,armı
rmis,rmış
Ivan,İvan
vani,vanı
cevi,çevi
evik,evik
vikl,vikl
ikli,ikli
kliy,kliy
liyi,liyi
iyin,iyin
yini,yini
kici,kiçi
icik,içik
tefe,təfə
efer,əfər
ferr,fərr
erru,ərrü
rrua,rrüa
ruat,rüat
uatl,üatl
atla,atla
tlar,tlar
neze,nəzə
ezer,əzər
zerd,zərd
erde,ərdə
rden,rdən
qaci,qaçı
acir,açır
cirm,çırm
rmay,rmay
maya,maya
ayar,ayar
yara,yara
araq,araq
bura,bura
urad,urad
rada,rada
adak,adak
daki,dakı
vezi,vəzi
eziy,əziy
ziyy,ziyy
yeti,yəti
neza,nəza
ezar,əzar
zare,zarə
aret,arət
retd,rətd
saxl,saxl
axla,axla
xlam,xlam
lama,lama
amaq,amaq
baca,baca
acar,acar
cari,carı
arig,arığ
rigi,rığı
igin,ığın
gini,ğını
qiym,qiym
iyme,iymə
ymet,ymət
metl,mətl
etle,ətlə
tlen,tlən
lend,lənd
endi,əndi
irme,irmə
rmey,rməy
meye,məyə
Bunl,Bunl
unla,unla
nlar,nlar
hett,hətt
etta,ətta
fasi,faşi
asiz,aşiz
sizm,şizm
izmi,izmi
zmin,zmin
tore,törə
oret,örət
etdi,ətdi
tdik,tdik
dikl,dikl
ikle,iklə
rind,rind
dehs,dəhş
ehse,əhşə
hset,hşət
setl,şətl
tlid,tlid
lidi,lidi
idir,ıdır
Minl,Minl
inle,inlə
nler,nlər
lerl,lərl
erle,ərlə
belk,bəlk
elke,əlkə
mily,mily
ilyo,ilyo
lyon,lyon
yonl,yonl
onla,onla
larl,larl
arla,arla
aras,araş
rasi,raşı
asid,aşıd
sidr,şıdr
idrm,ıdrm
drma,drma
tebi,təbi
ebii,əbii
Resp,Resp
espu,espu
spub,spub
publ,publ
ubli,ubli
blik,blik
lika,lika
ikas,ikas
kasi,kası
asin,asın
sind,sınd
beyn,beyn
eyne,eynə
ynel,ynəl
nelx,nəlx
elxa,əlxa
lxal,lxal
xalq,xalq
mark,mark
arke,arke
keti,keti
etin,etin
tinq,tinq
inqi,inqi
nqin,nqin
esas,əsas
isti,işti
stiq,stiq
tiqa,tiqa
iqam,iqam
qame,qamə
amet,amət
tler,tlər
inki,inki
nkis,nkiş
kisa,kişa
isaf,işaf
pers,pers
ersp,ersp
rspe,rspe
spek,spek
pekt,pekt
ekti,ekti
ktiv,ktiv
tivl,tivl
ivle,ivlə
vler,vlər
38-c,38-c
8-ci,8-ci
Madd,Madd
adde,addə
dden,ddən
deni,dəni
enin,ənin
bend,bənd
sade,sadə
adec,adəc
dece,dəcə
lara,lara
tele,tələ
eleb,ələb
metn,mətn
sekl,şəkl
ekli,əkli
klin,klin
lind,lind
izah,izah
zaha,zaha
ahat,ahat
madd,madd
bagl,bağl
agli,ağlı
hesa,hesa
esab,esab
saba,saba
abat,abat
batl,batl
ndak,ndak
qeyd,qeyd
eydl,eydl
ydle,ydlə
lerd,lərd
olun,olun
lunm,lunm
unma,unma
nmal,nmal
alid,alıd
Bunu,Bunu
unun,unun
hans,hans
ansi,ansı
stim,stim
timu,timu
imul,imul
mull,mull
ulla,ulla
lasd,laşd
asdi,aşdı
diri,dırı
iric,ırıc
rici,rıcı
isle,işlə
sler,şlər
goru,görü
orul,örül
ulur,ülür
novb,növb
ovbe,övbə
vbes,vbəs
besi,bəsi
orta,orta
ixti,ixti
xtis,xtis
tisa,tisa
isas,isas
sili,sili
mues,müəs
uess,üəss
essi,əssi
ssis,ssis
sise,sisə
isel,isəl
imta,imta
mtah,mtah
taha,taha
ahan,ahan
sess,sess
ssiy,ssiy
siya,siya
iyas,iyas
yasi,yası
lebe,ləbə
ebel,əbəl
bili,bili
iliy,iliy
iril,iril
rilm,rilm
lmes,lməs
mesi,məsi
seff,şəff
effa,əffa
ffaf,ffaf
fafl,fafl
afli,aflı
flig,flığ
ligi,lığı
obye,obye
byek,byek
yekt,yekt
ivli,ivli
vliy,vliy
etme,etmə
tmey,tməy
aran,aran
rana,rana
bile,bilə
ilec,iləc
lece,ləcə
ecek,əcək
neqa,neqa
eqat,eqat
qati,qati
ativ,ativ
hall,hall
llar,llar
arad,arad
qald,qald
aldi,aldı
ldir,ldır
rmag,rmağ
maga,mağa
dige,digə
iger,igər
muva,müva
uvaf,üvaf
vafi,vafi
afiq,afiq
tedb,tədb
edbi,ədbi
dbir,dbir
birl,birl
irle,irlə
rler,rlər
heya,həya
eyat,əyat
yata,yata
keci,keçi
ecir,eçir
ciri,çiri
sine,sinə
kome,kömə
omek,ömək
edib,edib
Mobi,Mobi
obil,obil
elef,elef
lefo,lefo
efon,efon
fonl,fonl
iyah,iyah
yahi,yahı
ahis,ahıs
hisi,hısı
isin,ısın
tapa,tapa
lers,lərs
ersi,ərsi
rsin,rsin
iniz,iniz
yetd,yətd
fili,fili
iliq,iliq
liqr,liqr
iqra,iqra
qran,qran
yuxa,yuxa
uxar,uxar
arid,arıd
rida,rıda
idan,ıdan
asag,aşağ
sagi,şağı
agiy,ağıy
giya,ğıya
kita,kita
itab,itab
tabi,tabı
abin,abın
kapt,kapt
apta,apta
ptal,ptal
para,para
aral,aral
rale,rale
alel,alel
yerl,yerl
rles,rləş
lesi,ləşi
esir,əşir
Umum,Ümum
mumi,mumi
umiy,umiy
emel,əməl
meli,məli
eliy,əliy
iyya,iyya
yyat,yyat
yatd,yatd
atda,atda
stir,ştir
tira,tira
irak,irak
agid,ağıd
gida,ğıda
idak,ıdak
meqa,məqa
eqam,əqam
qaml,qaml
amla,amla
mlar,mlar
razi,razı
azil,azıl
zila,zıla
ilas,ılaş
rdiq,rdıq
diqd,dıqd
iqda,ıqda
qdan,qdan
sonr,sonr
onra,onra
rmen,rmən
meni,məni
etib,etib
tiba,tiba
ibar,ibar
barl,barl
arli,arlı
sasl,sasl
asla,asla
cire,çirə
gost,göst
oste,östə
ster,stər
teri,təri
eril,əril
rile,rilə
xidm,xidm
idme,idmə
dmet,dmət
qanu,qanu
anun,anun
nuna,nuna
huqu,hüqu
uquq,üquq
quql,quql
uqla,uqla
qlar,qlar
muba,müba
ubad,übad
badi,badi
adil,adil
dilm,dilm
lmel,lməl
olan,olan
evez,əvəz
vezl,vəzl
ezle,əzlə
zles,zləş
sabl,sabl
abla,abla
blas,blaş
lasm,laşm
asma,aşma
sman,şman
mani,manı
usul,üsul
sulu,sulu
sert,şərt
ertl,ərtl
rtle,rtlə
Boyu,Böyü
oyuy,öyüy
yuyu,yüyü
uyum,üyüm
yumu,yümü
umuz,ümüz
yeni,yəni
10-c,10-c
0-cu,0-cu
inif,inif
nifd,nifd
ifde,ifdə
oxuy,oxuy
xuya,xuya
uyan,uyan
yand,yand
anda,anda
baci,bacı
acim,acım
1-ci,1-ci
xuyu,xuyu
uyur,uyur
yurd,yurd
urdu,urdu
Tehs,Təhs
Inst,İnst
nsti,nsti
stit,stit
titu,titu
itut,itut
tutu,tutu
gozl,gözl
ozle,özlə
zlen,zlən
lent,lənt
enti,ənti
ntil,ntil
erec,ərəc
rece,rəcə
eced,əcəd
cede,cədə
lasi,laşı
asib,aşıb
sib-,şıb-
ib-r,ıb-r
b-re,b-re
-rea,-rea
smad,şmad
madi,madı
adig,adığ
digi,dığı
